IsolateID	Genus	Metric	LowerBound	Q1	Median	Q3	UpperBound	Threshold
SAP18-6199	Salmonella	SNPs	1	1	1	1	1	NA
SAP18-6199	Salmonella	MeanInsert	144.9	298.1	360.9	442.1	576.9	144.9
SAP18-6199	Salmonella	NG50	76894.5	216483	234327	321438	391759.5	76894.5
SAP18-6199	Salmonella	GenomeFraction	98.98	99.02	99.04	99.06	99.1	NA
SAP18-6199	Salmonella	Contigs	59.5	81	88	100	116.5	116.5
SAP18-6199	Salmonella	LengthDelta	-38427	-35846	-34251	-33062	-30075	NA
SAP18-6199	Salmonella	UnalignedLength	0	0	520	1060	2110	NA
SAP18-8729	Salmonella	Reads	671412	1601520	2082198	2542044	3492984	NA
SAP18-8729	Salmonella	MeanR1Qual	33.6	34.6	35.1	35.6	36.6	30
SAP18-8729	Salmonella	MeanR2Qual	28.35	30.6	32.1	33.1	35.85	30
SAP18-8729	Salmonella	PercMapped	96.09	97.22	98.1	98.56	100.11	NA
SAP18-8729	Salmonella	MeanDepth	14.205	44.84	59.34	74.93	104.475	20
SAP18-8729	Salmonella	CovLT10	48397.5	74592	80145	95757	111892.5	NA
SAP18-8729	Salmonella	SNPs	0	0	0	0	0	NA
SAP18-8729	Salmonella	MeanInsert	203.1	322.6	371.7	435	540.3	203.1
SAP18-8729	Salmonella	NG50	0	253964	527673	713096	1216371	0
SAP18-8729	Salmonella	GenomeFraction	98.845	98.88	98.89	98.91	98.935	NA
SAP18-8729	Salmonella	Contigs	78	99	105	117	132	132
SAP18-8729	Salmonella	LengthDelta	-42617.5	-39257	-36805	-35382	-30992.5	NA
SAP18-8729	Salmonella	UnalignedLength	0	0	526	820	1756	NA
LMP18-H2446	Listeria	Reads	364043	1394622	1759172	2324708	3154301	NA
LMP18-H2446	Listeria	MeanR1Qual	35	35.9	36.2	36.7	37.4	30
LMP18-H2446	Listeria	MeanR2Qual	32.1	33.7	34.5	35.3	36.9	30
LMP18-H2446	Listeria	PercMapped	98.62	98.99	99.28	99.43	99.94	NA
LMP18-H2446	Listeria	MeanDepth	43.24	68.99	85.39	97.09	127.54	20
LMP18-H2446	Listeria	CovLT10	3622	30136	33604	50124	63586	NA
LMP18-H2446	Listeria	SNPs	0	0	0	1	1.5	NA
LMP18-H2446	Listeria	MeanInsert	172.6	282.7	324.7	384.1	476.8	172.6
LMP18-H2446	Listeria	NG50	347436.5	377481	437570	437570	527703.5	347436.5
LMP18-H2446	Listeria	GenomeFraction	99.09	99.1	99.12	99.12	99.15	NA
LMP18-H2446	Listeria	Contigs	0	37	52	88	128.5	128.5
LMP18-H2446	Listeria	LengthDelta	-41085.5	-20595	-17597	-4936	5891.5	NA
LMP18-H2446	Listeria	UnalignedLength	0	0	1088	2475	4800.5	NA
LMP18-H8393	Listeria	Reads	899225	1522900	1978190	2242210	3057155	NA
LMP18-H8393	Listeria	MeanR1Qual	35.15	35.9	36.2	36.6	37.25	30
LMP18-H8393	Listeria	MeanR2Qual	31.5	33.6	34.5	35.6	37.5	30
LMP18-H8393	Listeria	PercMapped	98.575	99.04	99.22	99.47	99.865	NA
LMP18-H8393	Listeria	MeanDepth	45.215	73.52	86.33	100.93	127.445	20
LMP18-H8393	Listeria	CovLT10	31914.5	59453	63515	80520	95115.5	NA
LMP18-H8393	Listeria	SNPs	0	0	0	1	1.5	NA
LMP18-H8393	Listeria	MeanInsert	160.25	270.8	315.5	374.3	470.75	160.25
LMP18-H8393	Listeria	NG50	67986.5	235462	484853	513373	901719.5	67986.5
LMP18-H8393	Listeria	GenomeFraction	98.57	98.61	98.63	98.65	98.69	NA
LMP18-H8393	Listeria	Contigs	0	40	51	112	159	159
LMP18-H8393	Listeria	LengthDelta	-48403.5	-36223	-33870	-26534	-19336.5	NA
LMP18-H8393	Listeria	UnalignedLength	0	0	540	3087	5170.5	NA
